country,relationship_type,study_count
MRT,Pathogenic,1
MUS,Endophytic,1
MUS,Unknown/Other,1
NAM,Pathogenic,1
NAM,Unknown/Other,1
NCL,Endophytic,1
NCL,Unknown/Other,1
NER,Mutualistic,1
NIC,Mycorrhizal,1
NIC,Pathogenic,1
NLD,Mycorrhizal,1
NOR,Mutualistic,1
NOR,Saprotrophic,1
NZL,Saprotrophic,1
OMN,Antagonistic/Biocontrol,1
OMN,Unknown/Other,1
PAN,Mutualistic,1
PAN,Mycorrhizal,1
PER,Antagonistic/Biocontrol,1
PHL,Mycorrhizal,1
PHL,Unknown/Other,1
PNG,Mycorrhizal,1
POL,Antagonistic/Biocontrol,1
POL,Mutualistic,1
PRI,Mycorrhizal,1
PYF,Antagonistic/Biocontrol,1
PYF,Endophytic,1
PYF,Pathogenic,1
QAT,Pathogenic,1
RUS,Antagonistic/Biocontrol,1
RUS,Mutualistic,1
SAU,Mutualistic,1
SGP,Unknown/Other,1
SGS,Mutualistic,1
SGS,Saprotrophic,1
SGS,Unknown/Other,1
SRB,Endophytic,1
SRB,Unknown/Other,1
SVK,Unknown/Other,1
SWE,Antagonistic/Biocontrol,1
SYR,Endophytic,1
SYR,Mycorrhizal,1
TCD,Pathogenic,1
TGO,Pathogenic,1
TLS,Endophytic,1
TUN,Antagonistic/Biocontrol,1
TUN,Mycorrhizal,1
TUN,Unknown/Other,1
TUR,Unknown/Other,1
TWN,Antagonistic/Biocontrol,1
TWN,Mutualistic,1
TZA,Unknown/Other,1
UGA,Pathogenic,1
UGA,Unknown/Other,1
URY,Antagonistic/Biocontrol,1
URY,Endophytic,1
URY,Unknown/Other,1
UZB,Antagonistic/Biocontrol,1
VEN,Unknown/Other,1
VNM,Unknown/Other,1
VUT,Unknown/Other,1
WSM,Pathogenic,1
ZAF,Antagonistic/Biocontrol,1
ZAF,Mutualistic,1
ZWE,Endophytic,1
[unavailable],Endophytic,1
"a common crop in many countries)""",Antagonistic/Biocontrol,1
"abstract analysis)""",Antagonistic/Biocontrol,1
"abstract analysis)""",Endophytic,1
"abstract does not specify)""",Endophytic,1
"abstract-based analysis)""",Mycorrhizal,1
"abstract-based analysis)""",Pathogenic,1
africa,Antagonistic/Biocontrol,1
africa,Endophytic,1
africa,Unknown/Other,1
africa and middle eastern countries,Pathogenic,1
americas,Antagonistic/Biocontrol,1
americas,Pathogenic,1
andes,Mycorrhizal,1
"as cultivated on the yamuna river bank)""",Endophytic,1
"as mangroves are found in tropical and subtropical regions)""",Endophytic,1
asia,Mycorrhizal,1
asia,Unknown/Other,1
asia and africa,Pathogenic,1
asia and africa,Unknown/Other,1
"assumed as location of mangroves)""",Endophytic,1
"assumed to be in the mediterranean region)""",Endophytic,1
"assumed: wherever a-wh-20-2 was collected)""",Endophytic,1
australasia,Endophytic,1
baltic sea,Endophytic,1
banana-exporting countries,Pathogenic,1
"based on pitch pine distribution)""",Endophytic,1
"but context suggests it's relevant to the mediterranean area)""",Pathogenic,1
"but likely multiple due to mention of various mountain ecosystems)""",Mycorrhizal,1
"but likely tropical)""",Endophytic,1
central and northern europe,Antagonistic/Biocontrol,1
central asia,Mycorrhizal,1
circum mediterranean countries,Antagonistic/Biocontrol,1
circum mediterranean countries,Endophytic,1
circum-mediterranean,Antagonistic/Biocontrol,1
cisural region,Endophytic,1
cosmopolitan,Pathogenic,1
cumbria,Mycorrhizal,1
data collected from web of science and pubmed databases,Endophytic,1
east africa,Antagonistic/Biocontrol,1
east africa,Pathogenic,1
east asia,Antagonistic/Biocontrol,1
east asia,Endophytic,1
east asia,Unknown/Other,1
eastern africa,Endophytic,1
eastern pre-pyrenees,Pathogenic,1
eleven african countries,Endophytic,1
eurasia,Mutualistic,1
europe and africa,Antagonistic/Biocontrol,1
