iso_a3,country_name,centroid_lon,centroid_lat,gdp_year,gdp_current_usd,gdp_log10,study_count
SVK,Slovakia,19.4689717853406,48.7112808146637,2024,140934076532.375,11.149016014121912,7
SDN,Sudan,29.9074652465699,15.9679661132356,2024,49672435513.1126,10.696115454619221,7
MNE,Montenegro,19.2386306670085,42.7880033068397,2024,8270016670.86774,9.917506385013075,6
SGS,S. Geo. and the Is.,-36.4874247589072,-54.4633925671473,NA,NA,NA,6
TZA,Tanzania,34.8018106480897,-6.26824779747904,2024,78844405385.2195,10.89677088223653,6
BFA,Burkina Faso,-1.76113831482965,12.2707262425414,2024,23124729853.0218,10.364076667939623,5
JEY,Jersey,-2.12689068199444,49.2183874346051,NA,NA,NA,5
BOL,Bolivia,-64.6984386207499,-16.681984236519,2024,54881327452.9667,10.73942460740945,4
GIN,Guinea,-10.9342459987654,10.4373187593583,2024,25008678293.4084,10.398090739909337,4
KAZ,Kazakhstan,67.2455026260148,48.3616709131595,2024,291480274648.826,11.464609170069215,4
SYR,Syria,38.4844621379467,35.0167773212797,2022,23622827079.5047,10.373331870904838,4
AZE,Azerbaijan,47.5478416625625,40.2866618419871,2024,74315882352.9412,10.871081638540256,3
BLR,Belarus,28.0149551024805,53.519520553022,2024,75961865471.9129,10.880595621602234,3
BMU,Bermuda,-64.7546002002701,32.3136780686167,2024,9233600000,9.965371056964587,3
BRN,Brunei,114.721966207324,4.51968373105294,2024,15340808592.48,10.185848251268585,3
FRO,Faeroe Is.,-6.88046143028574,62.0522625282412,2024,4052937169.76536,9.607769871189088,3
PYF,Fr. Polynesia,-144.785420676587,-14.7131078941411,2024,6323716355.05009,9.80097238178528,3
GRL,Greenland,-41.8136722760146,73.081215348893707,2023,3326543974.39193,9.521993268864145,3
GUY,Guyana,-58.9799209901224,4.78964291142976,2024,24662709832.1343,10.392040793285098,3
HND,Honduras,-86.6176147798508,14.8290802786515,2024,37093565854.0437,10.569298584644223,3
ISL,Iceland,-18.5800336627103,64.9978841290345,2024,33255181468.938202,10.521859322061719,3
MDG,Madagascar,46.742890054662,-19.3164837077413,2024,17420501490.1231,10.241060653040089,3
NPL,Nepal,83.946844426502,28.258042513136,2024,42914268286.7109,10.632601711950006,3
SGP,Singapore,103.817255828195,1.35876224689065,2024,547386645891.847,11.73829419810475,3
ZWE,Zimbabwe,29.8510133848713,-18.9970468184375,2024,41539411516.4448,10.61846033964802,3
BIH,Bosnia and Herz.,17.7748915739944,44.1714743324181,2024,29613572022.8993,10.47149079564564,2
BGR,Bulgaria,25.2091326182523,42.7712410532641,2024,113343355779.985,11.054396066741644,2
DOM,Dominican Rep.,-70.5052413454715,18.8951155518329,2024,124282245638.568,11.094409091860273,2
ERI,Eritrea,38.8572739697296,15.3611244552047,2011,2065001626.01626,9.314920397963176,2
JOR,Jordan,36.7576835960932,31.2387026477013,2024,53352289577.4648,10.727153061614707,2
LVA,Latvia,24.9204470200195,56.8595216467315,2024,43684254432.3609,10.640324927922917,2
LBN,Lebanon,35.8776957799568,33.9215988442913,2023,20078620356.9931,10.302733868237446,2
LBY,Libya,18.0667932088379,27.016716394901,2024,48487151215.345,10.685626668590668,2
LUX,Luxembourg,6.07215816344379,49.7667823865565,2024,93279851863.4062,10.969787847717722,2
MLT,Malta,14.4053767979931,35.9214721137047,2024,24971574502.4475,10.397445926258714,2
MUS,Mauritius,57.5712647063556,-20.2776195923663,2024,14937861786.17,10.17428843677486,2
MOZ,Mozambique,35.6027277377491,-17.1958575415341,2024,22745341305.0622,10.356892458017724,2
MMR,Myanmar,96.4947556027671,21.1129068828629,2024,74068349523.8095,10.86963266731005,2
NAM,Namibia,17.1950199598704,-22.0696900150308,2024,13372354511.716,10.126207881564053,2
NCL,New Caledonia,165.679742554398,-21.3008860717208,2024,8548919387.12607,9.931911221878137,2
ROU,Romania,24.9831818039956,45.8484139837285,2024,382564217988.866,11.58270434714265,2
YEM,Yemen,47.5677872484439,15.9172806798621,2018,21606160663.0318,10.334577601173088,2
AFG,Afghanistan,65.9259998083738,33.8187564243444,2023,17152234636.8715,10.234320709057542,1
ASM,American Samoa,-170.718018842331,-14.3044663343105,2022,871000000,8.940018155007664,1
BRB,Barbados,-59.5597850951858,13.1814498004285,2024,7498050000,9.874948332144706,1
BEN,Benin,2.32661465004568,9.63561224093508,2024,21482643706.4249,10.332087725652393,1
BTN,Bhutan,90.4021595967148,27.4121377982848,2023,3012896789.24928,9.478984254598265,1
BWA,Botswana,23.8086129025041,-22.1652447872488,2024,19402063512.9066,10.287847921920465,1
BDI,Burundi,29.8752284293783,-3.35921514928519,2024,3082433067.32634,9.488893654998044,1
TCD,Chad,18.6349974957478,15.2753594087916,2024,19518819751.283,10.290453553545747,1
COG,Congo,15.2211423451147,-0.836992405518094,2024,15719986076.6464,10.196452157044464,1
CUB,Cuba,-78.9870541353367,21.6379353455023,2020,107352000000,11.030810139884263,1
CIV,Côte d'Ivoire,-5.56910294110321,7.62587837122098,2024,87113179149.284,10.940083863375412,1
DMA,Dominica,-61.3577005414183,15.4394350108441,2024,688881481.481481,8.838144510200683,1
GUM,Guam,144.767851873217,13.4416293676101,2022,6910000000,9.839478047374199,1
GTM,Guatemala,-90.3672121144358,15.6901195659811,2024,113199581158.203,11.053844819952802,1
GNB,Guinea-Bissau,-14.9499240579018,12.0477507940677,2024,2218393804.54798,9.346038643689178,1
IRL,Ireland,-8.1457183415326,53.1625330760006,2024,609157459747.205,11.78472956695204,1
IMN,Isle of Man,-4.53903854050941,54.2240959079977,2022,7431257410.92713,9.87106230506933,1
JAM,Jamaica,-77.3143958349437,18.1574508770119,2024,22014397089.7689,10.342706795897206,1
KGZ,Kyrgyzstan,74.5090861452259,41.4743103610779,2024,17478259659.2625,10.242498186993645,1
LAO,Laos,103.774934402365,18.4874181969114,2024,16502933121.3379,10.217561139680774,1
LSO,Lesotho,28.2289621119569,-29.5790637034594,2024,2271759454.51107,9.356362344156466,1
MRT,Mauritania,-10.369916721834,20.2206937789848,2024,10908045686.8808,10.03774694825737,1
FSM,Micronesia,153.322721650955,7.53089158668559,2024,471425099.488675,8.673412701394165,1
NIC,Nicaragua,-85.0319410654719,12.8449927189211,2024,19693982967.5926,10.294333557982576,1
QAT,Qatar,51.1846516738005,25.3048623619667,2024,219162637362.637,11.340766518013577,1
WSM,Samoa,-172.165304583466,-13.7534008948444,2024,1175749785.65113,9.070314908242663,1
TLS,Timor-Leste,125.845107842137,-8.8293216519627,2024,1865608515.41321,9.270820515384091,1
TGO,Togo,0.963859665348354,8.52077978485004,2024,10651180146.531,10.027397730096924,1
ARE,United Arab Emirates,54.2926697940931,23.9053203375377,2024,552324846834.581,11.742194580794616,1
VUT,Vanuatu,167.675345929342,-16.216969027294,2024,1117972034.22642,9.048430939925133,1
ALB,Albania,20.0518459027133,41.1348736944403,2024,27046429296.6673,10.43210993712782,0
AND,Andorra,1.56052469127473,42.5422864057591,2024,4039842405.48117,9.60636442358465,0
AGO,Angola,17.5317833751037,-12.2706139262687,2024,100998916781.079,11.004316715975486,0
AIA,Anguilla,-63.0649996801631,18.2239725989557,NA,NA,NA,0
ATG,Antigua and Barb.,-61.7946721591689,17.2771040484643,2024,2207622874.07407,9.343924885317433,0
ARM,Armenia,44.9383117991992,40.287327772931,2024,25955275380.0321,10.414225641012745,0
ABW,Aruba,-69.9826639657359,12.5208780608318,2024,4265650673.00236,9.629985286884786,0
BHS,Bahamas,-76.5901602884017,24.2800187934338,2024,15832800000,10.199557725792058,0
BHR,Bahrain,50.5419933611208,26.0419637708084,2024,47109734308.5106,10.673110654892593,0
BLZ,Belize,-88.7110676211934,17.1982988461335,2024,3203631800,9.505642595921215,0
IOT,Br. Indian Ocean Ter.,72.4454107176736,-7.33059326968775,NA,NA,NA,0
VGB,British Virgin Is.,-64.4716170380985,18.5258126284725,NA,NA,NA,0
CPV,Cabo Verde,-23.9565439780904,15.9533055041819,2024,2725414150.72735,9.435432506505856,0
KHM,Cambodia,104.905337580996,12.719494904645,2024,46352647037.2406,10.666074540224674,0
CYM,Cayman Is.,-80.9134943394325,19.4298043674924,2023,7241244269.45972,9.859813197817418,0
CAF,Central African Rep.,20.4618329844356,6.57229915888353,2024,2751494281.06887,9.439568614474883,0
COM,Comoros,43.681656759567,-11.8779085448706,2024,1440991455.45188,9.158661405615446,0
COK,Cook Is.,-159.787243023607,-21.2192740081892,NA,NA,NA,0
CUW,Curaçao,-68.9711179452218,12.1955184194906,2024,3561178196.20713,9.55159370568582,0
CYP,Cyprus,33.0058102965142,34.917087328158,2024,37634533331.8902,10.575586535153299,0
COD,Dem. Rep. Congo,23.637747242281,-2.86548803879883,2024,70962185790.7094,10.851026984250723,0
DJI,Djibouti,42.5600788811058,11.7483067109973,2024,4152145939.98458,9.618272609728677,0
SLV,El Salvador,-88.8709570558223,13.7398637309967,2024,35364960000,10.548573171204296,0
GNQ,Eq. Guinea,10.3417277888309,1.705405643432,2024,12765777677.0622,10.106047276685839,0
FLK,Falkland Is.,-59.3498833437913,-51.7464413294786,NA,NA,NA,0
FJI,Fiji,178.512028294341,-17.4275459921746,2024,5968125909.27126,9.775837976851495,0
ATF,Fr. S. Antarctic Lands,69.1998846442835,-49.2683171943331,NA,NA,NA,0
GAB,Gabon,11.7887417164631,-0.586446585293701,2024,20895684425.6752,10.320056600769234,0
GMB,Gambia,-15.3963233144452,13.4509534894153,2024,2404888749.21907,9.381094990598502,0
GRD,Grenada,-61.6822117335207,12.1172424371992,2024,1371918518.51852,9.137328318361535,0
GGY,Guernsey,-2.57240443102482,49.468103758266,NA,NA,NA,0
HTI,Haiti,-72.6867625315242,18.9345751430787,2024,25224154990.7946,10.401816626287266,0
HMD,Heard I. and McDonald Is.,73.5203521795845,-53.0872651198047,NA,NA,NA,0
KIR,Kiribati,-167.919700936462,0.892900961239435,2024,307862564.489711,8.48835688271944,0
KWT,Kuwait,47.5877796880973,29.3332785767072,2024,160227273053.334,11.204736441388997,0
LBR,Liberia,-9.3198326185766,6.45195767187024,2024,4779300900,9.679364374127365,0
LIE,Liechtenstein,9.53575260315686,47.1366265853552,2023,8239379403.22096,9.915894501514268,0
MAC,Macao,113.509319741433,22.2231175774803,2024,49467258923.3244,10.694317845932076,0
MWI,Malawi,34.2828475303045,-13.2044253769335,2024,11316411329.4619,10.053708724828514,0
MDV,Maldives,73.4570805442108,3.72846121928285,2024,7061608267.25451,9.848903622022258,0
MHL,Marshall Is.,170.342582564537,7.00279059022283,2024,290108489.990234,8.462560438564669,0
MDA,Moldova,28.4656191736062,47.1871728331026,2024,18200340853.6517,10.260079521472653,0
MCO,Monaco,7.40627449424239,43.7527482443154,2024,11125783372.4794,10.046330599641056,0
MSR,Montserrat,-62.1851850423942,16.7394123859652,NA,NA,NA,0
MNP,N. Mariana Is.,145.618094756082,15.8171137794661,2022,1096000000,9.03981055414835,0
NRU,Nauru,166.932568247741,-0.519126365152906,2024,162588620.632234,8.211090146611271,0
NIU,Niue,-169.869942739257,-19.0494561591082,NA,NA,NA,0
NFK,Norfolk Island,167.949215558769,-29.0514598846554,NA,NA,NA,0
PRK,North Korea,127.159122775815,40.1400742694836,NA,NA,NA,0
MKD,North Macedonia,21.6805957755044,41.5951915568665,2024,16951682245.4202,10.229212803049483,0
PLW,Palau,134.405780945831,7.28668468125613,2023,276733062.744141,8.442061049670523,0
PSE,Palestine,35.1954797208278,31.9152202929032,2024,13711100000,10.137072298317332,0
PCN,Pitcairn Is.,-128.317044328348,-24.3650031851063,NA,NA,NA,0
RWA,Rwanda,29.9199828908339,-1.99032494652451,2024,14251642235.0968,10.153864911540788,0
SSD,S. Sudan,30.251333835259,7.30869694761169,2015,11997800760.2242,10.079101645611633,0
SHN,Saint Helena,-9.67419767139882,-12.3792423437637,NA,NA,NA,0
LCA,Saint Lucia,-60.9697106588895,13.8947730044762,2024,2549062962.96296,9.406380562864193,0
SMR,San Marino,12.4592152183486,43.9418652349619,2023,2027527227.831,9.306966695098907,0
SEN,Senegal,-14.469447943744,14.3648110913115,2024,32808056600.9436,10.515980505531326,0
