"code","iso","country","MHP.raw.2010","MHP.raw.2011","MHP.raw.2012","MHP.raw.2013","MHP.raw.2014","MHP.raw.2015","MHP.raw.2016","MHP.raw.2017","MHP.raw.2018","MHP.raw.2019","MHP.raw.2020","MHP.raw.2021","MHP.raw.2022","MHP.raw.2023","MHP.raw.2024"
208,"DNK","Denmark",16.7263235177482,17.2725366039,17.289754234754,17.289754234754,17.289754234754,17.289754234754,17.306971865608,17.3075812174526,17.3075812174526,17.343167365179,17.343167365179,17.343167365179,17.343167365179,17.343167365179,17.343167365179
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249,3.20039741030249
214,"DOM","Dominican Republic",40.7620097825745,40.7620097825745,40.7620097825745,40.7620097825745,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073,43.5493425699073
218,"ECU","Ecuador",63.4344894851297,63.4344894851297,64.4400760773085,64.4400760773085,64.4400760773085,64.4400760773085,64.4400760773085,64.8373448544655,64.8373448544655,64.8373448544655,64.8373448544655,64.8373448544655,66.2699863912604,66.2699863912604,66.2699863912604
818,"EGY","Egypt",27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707,27.4573001486707
222,"SLV","El Salvador",25.1322751322752,35.5820105820106,35.5820105820106,35.5820105820106,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889,38.8888888888889
226,"GNQ","Equatorial Guinea",25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514,25.3191641489514
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866,82.6008968609866
748,"SWZ","Eswatini",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
231,"ETH","Ethiopia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
242,"FJI","Fiji",16.8397488939802,16.8397488939802,16.8397488939802,16.8397488939802,16.8449791014034,16.8449791014034,16.8449791014034,16.8449791014034,16.9193838633081,16.9193838633081,16.9193838633081,16.9193838633081,16.9193838633081,16.9193838633081,16.9193838633081
246,"FIN","Finland",41.6323065728838,42.438758185787,43.5665777346592,43.5665777346592,44.3730293475625,44.3730293475625,44.3730293475625,44.3730293475625,44.3730293475625,44.3730293475625,44.3730293475625,44.7489691971865,44.7489691971865,44.7489691971865,44.7489691971865
250,"FRA","France",43.8839861260943,44.3599488350724,45.0247169777167,45.2909192287245,57.0962366139502,57.3639311294323,57.6832563635483,57.7157871883997,57.9788704249746,58.0124868195145,58.0335571945671,58.0335571945671,58.0335571945671,58.0335571945671,58.0335571945671
258,"PYF","French Polynesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
266,"GAB","Gabon",40.8705483323912,40.8705483323912,40.8705483323912,40.8705483323912,40.8705483323912,40.8705483323912,40.8705483323912,50.0282645562465,50.0282645562465,50.0282645562465,50.0282645562465,50.0282645562465,50.0282645562465,50.0282645562465,50.0282645562465
270,"GMB","Gambia",49.242078159392,49.242078159392,49.242078159392,49.242078159392,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201,56.4321608040201
268,"GEO","Georgia",14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143
276,"DEU","Germany",94.7153879042288,94.9641441231344,94.9641441231344,94.9641441231344,94.9641441231344,94.9641441231344,94.9641441231344,95.0618003731344,95.0618003731344,95.0618003731344,95.0618003731344,95.0618003731344,95.0618003731344,95.0618003731344,95.0618003731344
288,"GHA","Ghana",0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446,0.0810313075506446
300,"GRC","Greece",21.6964832026774,39.654177865382,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201,39.6580343497201
304,"GRL","Greenland",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
308,"GRD","Grenada",1.78571428571428,1.78571428571428,1.78571428571428,1.78571428571428,1.78571428571428,1.78571428571428,1.78571428571428,1.78571428571428,3.41614906832298,3.41614906832298,3.41614906832298,3.41614906832298,3.41614906832298,3.41614906832298,3.41614906832298
320,"GTM","Guatemala",17.8020833333333,17.8020833333333,17.8020833333333,17.8020833333333,17.8020833333333,17.8020833333333,19.2083333333333,19.2083333333333,19.2083333333333,19.2083333333333,19.2083333333333,19.2083333333333,19.2083333333333,19.2083333333333,19.2083333333333
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791,7.72482325937791
624,"GNB","Guinea-Bissau",8.85729092256795,8.85729092256795,8.85729092256795,8.85729092256795,19.6067795962203,21.4205556849555,21.4205556849555,21.4205556849555,21.4205556849555,21.4205556849555,21.4205556849555,21.4205556849555,21.4205556849555,21.4205556849555,21.4205556849555
328,"GUY","Guyana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,"HTI","Haiti",11.0583196686154,11.0583196686154,11.0583196686154,16.8219640708489,22.3052698397333,22.3052698397333,22.3052698397333,26.5322917330016,26.5322917330016,26.5322917330016,26.5322917330016,26.8240689213305,26.8240689213305,26.8240689213305,26.8240689213305
336,"VAT","Holy See",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
340,"HND","Honduras",23.7914382925628,23.7914382925628,23.7914382925628,24.0286629333442,24.0286629333442,24.0286629333442,24.0513815748373,25.5433148142824,25.5433148142824,25.5701100983124,25.5701100983124,25.5701100983124,25.5701100983124,25.5701100983124,25.5701100983124
