"code","iso","country","WWC.raw.2015","WWC.raw.2016","WWC.raw.2017","WWC.raw.2018","WWC.raw.2019","WWC.raw.2020","WWC.raw.2021"
729,"SDN","Sudan",0.0459,-9999,-9999,-9999,-9999,-9999,-9999
740,"SUR","Suriname",0.4945,-9999,-9999,-9999,-9999,-9999,-9999
752,"SWE","Sweden",1,1,1,1,1,0.99,-9999
756,"CHE","Switzerland",0.939,-9999,-9999,-9999,-9999,-9999,-9999
760,"SYR","Syria",0.2578,-9999,-9999,-9999,-9999,-9999,-9999
158,"TWN","Taiwan",0.699,-9999,-9999,-9999,-9999,-9999,-9999
762,"TJK","Tajikistan",0.2386,-9999,-9999,-9999,-9999,-9999,-9999
834,"TZA","Tanzania",0.009,-9999,-9999,-9999,-9999,-9999,-9999
764,"THA","Thailand",0.234,-9999,-9999,-9999,-9999,-9999,-9999
626,"TLS","Timor-Leste",0.1849,-9999,-9999,-9999,-9999,-9999,-9999
768,"TGO","Togo",0,-9999,-9999,-9999,-9999,-9999,-9999
776,"TON","Tonga",0.3957,-9999,-9999,-9999,-9999,-9999,-9999
780,"TTO","Trinidad and Tobago",-9999,0.252000007629395,-9999,-9999,-9999,-9999,-9999
788,"TUN","Tunisia",0.807,-9999,-9999,-9999,-9999,-9999,-9999
792,"TUR","Turkiye",0.699,0.707,0.742,0.744,0.739,0.74,-9999
795,"TKM","Turkmenistan",0.4468,-9999,-9999,-9999,-9999,-9999,-9999
796,"TCA","Turks and Caicos Islands",0.7885,-9999,-9999,-9999,-9999,-9999,-9999
798,"TUV","Tuvalu",0.4396,-9999,-9999,-9999,-9999,-9999,-9999
800,"UGA","Uganda",0.081,-9999,-9999,-9999,-9999,-9999,-9999
804,"UKR","Ukraine",0.5586,-9999,-9999,-9999,-9999,-9999,-9999
784,"ARE","United Arab Emirates",-9999,-9999,0.939,-9999,-9999,-9999,-9999
826,"GBR","United Kingdom",0.858,-9999,-9999,-9999,-9999,-9999,-9999
840,"USA","United States of America",0.782,-9999,-9999,-9999,-9999,-9999,-9999
858,"URY","Uruguay",0.377,-9999,-9999,-9999,-9999,-9999,-9999
860,"UZB","Uzbekistan",0.3899,-9999,-9999,-9999,-9999,-9999,-9999
548,"VUT","Vanuatu",0.1572,-9999,-9999,-9999,-9999,-9999,-9999
862,"VEN","Venezuela",0.33,-9999,-9999,-9999,-9999,-9999,-9999
704,"VNM","Viet Nam",0.1,-9999,-9999,-9999,-9999,-9999,-9999
876,"WLF","Wallis and Futuna Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
732,"ESH","Western Sahara",-8888,-8888,-8888,-8888,-8888,-8888,-8888
887,"YEM","Yemen",0.0286,-9999,-9999,-9999,-9999,-9999,-9999
894,"ZMB","Zambia",0.1375,-9999,-9999,-9999,-9999,-9999,-9999
716,"ZWE","Zimbabwe",0.75929,0.679056,0.68972,-9999,-9999,-9999,-9999
