"code","iso","country","UWD.raw.1990","UWD.raw.1991","UWD.raw.1992","UWD.raw.1993","UWD.raw.1994","UWD.raw.1995","UWD.raw.1996","UWD.raw.1997","UWD.raw.1998","UWD.raw.1999","UWD.raw.2000","UWD.raw.2001","UWD.raw.2002","UWD.raw.2003","UWD.raw.2004","UWD.raw.2005","UWD.raw.2006","UWD.raw.2007","UWD.raw.2008","UWD.raw.2009","UWD.raw.2010","UWD.raw.2011","UWD.raw.2012","UWD.raw.2013","UWD.raw.2014","UWD.raw.2015","UWD.raw.2016","UWD.raw.2017","UWD.raw.2018","UWD.raw.2019","UWD.raw.2020","UWD.raw.2021"
600,"PRY","Paraguay",824.86097218609,784.00760197777,793.28819190372,730.58191112386,669.25009863497,623.84763135764,562.5950125618,495.03119272473,440.09011235715,396.00445609639,356.0344746217,329.73285836075,308.18769898371,279.27001364148,250.73170797607,226.73142044833,201.60825892927,173.38117573888,150.47337929016,135.60655832943,114.46691739128,105.44761345885,98.17853455972,91.77853306547,84.39047361703,76.03991524767,73.03609667135,72.2608848662,70.31187489,67.56182487338,65.02397812679,63.38721336166
604,"PER","Peru",905.95717634924,1127.95528407077,893.41456838445,804.93923441838,672.25921644284,607.5490019692,537.79669397821,488.99734594801,452.21313575744,408.09154372778,369.10658294466,325.96414500766,293.89631215354,268.33186989558,244.58746981449,224.10589813571,201.98555739411,178.78422195103,163.34333771289,145.75316922476,130.80640604225,118.77410869365,108.54884141795,100.70624465259,94.6538386697,89.95060609153,87.32998002395,85.60244384197,84.51899921399,79.53433987051,71.19293737125,66.61266084874
608,"PHL","Philippines",1634.69839941445,1495.990804393,1393.12747307382,1302.44121827542,1186.47203597204,1095.95765707451,1009.28752539186,934.34187568095,872.27196689051,863.34815398054,841.24093872466,796.80189530499,745.33195714203,692.64156422774,636.95814624543,621.36875869876,595.80775044425,570.08239550693,544.32083894885,522.57385603598,496.10145712094,473.15510390831,438.98632717553,403.83823994091,381.10522748275,361.74688873307,351.29675858444,335.3793478387,320.77632729635,310.92593309194,295.07356552662,284.36578058496
616,"POL","Poland",12.47835688321,10.00813433041,8.9596731647,7.26144994016,7.11353338615,6.43115143583,6.38366006985,5.40705146948,4.76634395822,4.36658695395,3.99564393543,3.88566964575,3.60571574848,3.14094425285,2.79732882413,2.83909135558,2.66298516984,3.17113471682,3.33799535538,3.88977421499,4.63689980731,5.04642082934,5.88658021423,7.51855555061,8.72083927909,9.7879233498,10.84253384083,13.09969910142,13.48612812931,13.27771797312,12.68633299331,12.39262531874
620,"PRT","Portugal",18.87263191485,16.78076046874,15.04815344748,14.02004270833,11.42689149356,9.93732837335,9.39573071187,8.51007485318,7.70216796334,6.75485831866,6.12571933709,5.68578375159,5.38770975764,5.20236723231,4.96224817469,4.82699730372,4.67432883931,4.58528822851,4.30498664241,4.01069931565,3.61131477247,3.27587277179,3.22194429676,3.19992298284,3.110617985,3.05382544214,3.00038699017,2.89683492861,2.76085900302,2.59552616288,2.4534063459,2.37088396772
634,"QAT","Qatar",41.02956700063,39.13676042881,37.34595032535,35.817835162,34.55760343563,33.27642019849,32.3185088789,31.43886198225,30.74346873594,30.04166665375,29.38514164677,29.2607735468,29.06846686016,28.6933242235,28.30078904341,27.93251084008,27.42466845667,27.03173033151,26.48046905189,24.86597654636,24.17006322259,23.25334717642,22.32798451615,21.22819712302,20.31935877785,19.71740353164,19.47213109933,19.3607471093,19.36167592733,19.31506747569,19.31607132108,18.62375975651
178,"COG","Republic of Congo",4083.44725719305,3928.54213248043,3804.70476604046,3702.16089463155,3663.45507445786,3576.12090780061,3518.4806929251,3525.06092742104,3383.13845880429,3287.69010120252,3182.45490833162,3021.71633285439,2927.56317585403,2838.41291108883,2729.96020891579,2705.51574966666,2603.08958723347,2560.0490991926,2447.20741776093,2322.50708913134,2147.49464141444,2013.81732627051,1867.86740161889,1702.33830391211,1511.79498454482,1413.38108956265,1319.52987167949,1230.05215321013,1146.28604436573,1338.9843208024,1043.8266768231,998.42388038015
642,"ROU","Romania",117.75897029551,93.37915060644,93.51073930936,94.54516236104,101.34240222111,79.32547371492,80.67642003506,73.50744274946,69.12097439918,59.36305619691,59.45119133486,50.07916201357,43.54304421699,39.06160241451,35.81769990162,30.15067534315,24.86982806511,18.19590526894,18.01143096066,17.87263263679,19.56889030527,22.00752162221,23.77491385209,25.38928171024,25.9132464374,26.92989286378,26.86648461646,28.58323683843,28.12316873043,26.24196169712,24.71890291128,24.68012639661
643,"RUS","Russia",64.13739356325,63.08961411788,61.6097646949,68.21490643975,69.35779923378,66.92369897562,58.87878768358,54.93979496847,54.490734969,58.59054257804,54.2871526035,49.99996389091,43.99559131446,39.91755879632,35.18447302354,31.97574339843,28.50924639269,26.48465304831,24.0459186295,22.25144045093,21.37750242456,20.96466292178,21.26004232971,20.02903542698,19.03296642643,17.55480929712,16.36581982222,14.95223752511,13.37825865242,12.19183491508,11.28282793418,10.67214514937
646,"RWA","Rwanda",4482.58601867378,4525.52832934191,4368.03524970648,4037.44969019709,9484.46514375593,5035.95098343876,4768.06451317064,4199.63835261004,3966.71961212375,3863.99804732037,3748.46265352062,3572.04121599907,3373.69932111171,3181.01390484021,3166.29155671531,2976.42771292372,2789.5169077203,2568.62307201074,2364.26712816787,2130.73799625367,1982.96679012666,1847.56026214507,1616.88836859636,1480.94862405423,1454.39019974439,1396.60180803859,1313.85133093219,1193.65879457725,1117.58934900625,1070.82184334259,1039.67966444787,983.87363690946
