"code","iso","country","NTL.raw.1992","NTL.raw.1993","NTL.raw.1994","NTL.raw.1995","NTL.raw.1996","NTL.raw.1997","NTL.raw.1998","NTL.raw.1999","NTL.raw.2000","NTL.raw.2001","NTL.raw.2002","NTL.raw.2003","NTL.raw.2004","NTL.raw.2005","NTL.raw.2006","NTL.raw.2007","NTL.raw.2008","NTL.raw.2009","NTL.raw.2010","NTL.raw.2011","NTL.raw.2012","NTL.raw.2013","NTL.raw.2014","NTL.raw.2015","NTL.raw.2016","NTL.raw.2017","NTL.raw.2018","NTL.raw.2019","NTL.raw.2020","NTL.raw.2021"
222,"SLV","El Salvador",64607,85750,89612,107387,106100,118142,140811,148852,157206,161597,153472,157199,197871,168113,149054,164997,157591,174199,156700,148604,151274,203940,200840,214757,198973,233846,246644,244799,234634,243630
226,"GNQ","Equatorial Guinea",5622,8689,5430,8655,8977,7448,9857,9920,9403,8051,7178,6767,7283,5079,5432,8812,10950,14064,17881,22310,21269,65038,68354,75901,61389,165293,112832,82810,63345,67119
232,"ERI","Eritrea",3583,4046,5200,7539,8013,8946,9376,9554,9476,11735,11722,13192,14044,13861,12465,13801,12452,12561,13906,14465,12541,34273,32466,34379,30357,46378,49938,50766,47861,39492
233,"EST","Estonia",157668,241302,301018,253702,232806,381102,324870,318100,299554,308651,10911,268944,277150,364594,304433,330419,360572,404266,643854,409260,554076,420642,389994,305995,472180,359229,610462,520581,312778,661241
748,"SWZ","Eswatini",19286,22527,22220,27302,28296,24585,32204,38286,39094,39714,43887,45907,45459,52189,44388,52795,37049,52248,47380,49109,58493,150069,156082,135331,129097,177012,170148,177380,161543,171592
231,"ETH","Ethiopia",24359,29839,31104,42005,39251,38113,45896,49912,54768,57796,59446,67528,84194,81645,92271,95793,95638,90585,101248,114472,122246,1754463,1683640,1807060,1719191,2265336,2262200,2151875,1601422,1956680
234,"FRO","Faeroe Islands",4320,7728,12106,18622,20321,6540,4734,13576,5399,7248,0,12171,11541,14361,7094,16169,16902,11410,25857,19133,18434,12936,12996,18923,19900,15182,31030,23785,15321,29435
238,"FLK","Falkland Islands",2756,2312,3522,3462,2632,3220,2222,2642,3116,4722,4003,2886,2286,1978,1911,2204,1868,1985,2468,2253,2731,3968,4604,4233,1963,3512,3017,3107,3216,4257
242,"FJI","Fiji",11696,12467,12876,17737,17567,30348,24702,15477,17176,21817,21829,23672,23710,24013,24730,21431,24973,17736,25838,13289,16456,38034,47884,40992,35127,56114,60663,54625,48818,53468
246,"FIN","Finland",2386445,3119120,3481640,4190260,3078953,3422415,3883486,4636714,3022683,2934823,0,4327741,3498867,3798753,3103720,3450021,3822504,3924061,4906210,3692902,4849464,3567327,3169568,4048227,4094076,4125664,4772334,4195732,3135150,4660014
250,"FRA","France",6541268,6547461,6317144,8314773,8276931,9151907,9035518,9549010,10043697,10550107,10210655,10840697,10166083,10552490,10033122,10540351,10382079,11032102,11493513,10049033,11031999,9183183,9173853,8932075,8729930,9157535,8995541,9210500,8750408,8961304
258,"PYF","French Polynesia",5491,7210,5936,8268,7926,8362,8940,9292,11150,12835,12465,10612,12855,11847,11306,12040,12589,13394,13388,13333,13035,15629,14827,14077,13187,16583,17622,17509,12435,15473
266,"GAB","Gabon",59442,64840,65758,69838,69676,70201,90533,92275,92642,111980,106854,104057,120624,100001,87349,85096,95939,93163,94353,95627,106208,326526,293429,322373,275347,606232,756814,424665,280241,320812
270,"GMB","Gambia",1731,2642,2590,3065,3783,3004,3161,3709,2757,3691,4009,3700,4825,4498,5382,8337,8518,9726,9882,10365,9257,59486,48589,38308,51457,73527,72301,73740,54795,75605
268,"GEO","Georgia",105371,140889,54717,62914,51753,46130,72352,59463,54207,54000,75108,73154,95270,114791,117864,162123,170433,141443,160190,205391,247719,538192,516916,478418,498393,957851,781803,966646,636502,698883
276,"DEU","Germany",6815888,6054885,6031507,8278002,7956942,8265643,9589468,9234974,9458640,9421576,10256210,9619979,8785191,9210044,8214691,8484690,8565516,9538973,12252460,8942319,10117657,5800628,5490181,5613998,5420955,6071181,6276454,6190798,6189531,7489834
288,"GHA","Ghana",84471,99972,100365,147636,154604,145566,131025,180498,176881,172743,174609,174193,180755,179755,172229,170322,196956,188929,222654,230505,288682,1305588,1303171,1390645,1528934,1987511,1930408,2134592,2114121,2167223
300,"GRC","Greece",660187,763708,756474,953583,870316,950523,1060781,1211656,1286036,1284651,1406877,1402530,1483558,1512257,1457084,1519010,1420525,1463887,1442198,1376551,1478204,2029545,2029494,1991851,1979725,2384139,2271285,2547012,2288270,2516488
304,"GRL","Greenland",5276,9211,6905,6018,4374,10409,1869,8094,2878,2942,0,1964,5590,4801,4414,6687,7932,4849,3723,8102,6050,1174761,1151369,7915925,3692931,9378336,1635463,1366944,564941,1398923
308,"GRD","Grenada",1445,2059,1832,2204,2163,2526,2849,3035,3167,3623,3818,3921,3869,4023,4693,4918,4802,5317,5142,5014,5407,4630,4375,4363,4186,4453,4559,4621,4400,4498
320,"GTM","Guatemala",88986,109188,119867,136699,147295,159075,203587,230998,272438,270557,271893,254545,329991,299902,261699,304728,290275,317217,313811,322717,357936,635560,593831,636056,602161,763740,791043,798965,683309,713145
831,"GGY","Guernsey",3026,4180,4587,4394,4180,4480,4390,4016,4046,4378,3772,4528,3733,3736,3743,4047,3766,3766,3547,2751,3762,1004,1033,994,948,890,923,971,975,1017
324,"GIN","Guinea",7120,11902,10799,13060,11861,10184,17760,17709,18215,18446,20310,14170,23220,17181,17652,19645,19116,17163,19173,21701,23910,1400558,1358291,1245994,1339920,1726458,1827006,1718638,1443248,1482914
624,"GNB","Guinea-Bissau",1487,2080,1896,2161,1594,1562,1613,857,1099,953,1596,1653,1187,1224,1328,1429,1523,1821,1596,1896,2420,75924,97183,132509,67101,118859,175218,143532,73688,75406
328,"GUY","Guyana",8825,10904,11518,15985,15860,20767,21471,18830,19804,20851,21862,17330,21736,18510,17816,19387,18116,20541,20450,23462,24491,82232,75891,99920,79981,140517,168580,190114,127014,92512
332,"HTI","Haiti",10666,10464,5389,15347,15029,14515,15511,15905,14824,19146,10293,14754,15548,16868,12202,16347,15446,22828,35818,39615,35277,86835,78955,78082,64555,104852,120613,99473,68483,78897
336,"VAT","Holy See",63,63,63,63,63,62,62,62,62,62,62,62,59,61,61,61,60,118,118,126,63,63,63,63,63,63,63,63,63,63
340,"HND","Honduras",54024,85057,86479,104884,112844,114368,148942,152352,172100,173269,170106,187323,224481,215028,203462,232121,221155,230432,233040,260000,258256,668835,648535,697940,661089,774112,867326,823496,769382,697605
344,"HKG","Hong Kong",66045,59137,62405,67033,67892,70857,68471,71459,71546,72891,72810,73837,72677,69197,69189,69621,70146,67971,67496,75156,68929,72449,72507,72394,71377,72954,74582,76375,71939,77981
348,"HUN","Hungary",557868,672013,629677,1027205,924740,918819,1167773,1062499,1184160,1344162,1100024,1446670,1013252,1337539,1006094,1016286,1065856,1037988,1118222,974746,1127392,975962,1010295,920618,969252,1093035,1066607,1202107,1062509,1237100
352,"ISL","Iceland",111864,177774,124611,151160,239049,2553,152621,159697,182220,0,0,198247,207752,260513,222319,296309,257028,163315,242086,306467,267254,321815,500267,1745953,433935,411485,719004,350381,395465,481853
356,"IND","India",7986517,9242370,9279110,11904281,12292393,11650504,13419765,13766347,14952041,15202816,15526874,14454807,16665770,15379809,14071415,17382047,16509289,17988519,17700882,18782262,20770809,31190300,31419604,33134604,31647535,39443332,40123551,42285918,39803238,42369354
360,"IDN","Indonesia",931133,1415169,1445749,1836999,1896779,2156068,2016400,2137868,2251594,2404147,2441648,2281510,2715475,2385880,2689387,2443157,2364274,2656070,2559742,2947065,3328079,5598661,5857143,6963239,5795342,8101304,11156673,9144331,7601996,8754720
364,"IRN","Iran",3640242,3848118,3614345,4318704,4392936,4485720,4961659,5200540,5469284,5559699,5737834,6545448,7069173,7457492,7506612,8211697,7738165,7469819,7499682,7195606,7913812,12609390,13116093,13009788,13292580,20503730,16454980,17577990,15487401,16617148
368,"IRQ","Iraq",1014923,1014339,941876,1107915,994569,884743,974173,1065484,1166985,1300363,1306197,1362501,1520560,1606122,1539156,1488537,1371868,1691250,1772854,1940201,2182313,3869590,3997564,3950180,4125552,7081001,5723432,6479649,6351480,6624021
372,"IRL","Ireland",553437,533608,447789,616121,675611,727938,803570,943157,946997,1030011,900040,1068141,1188166,1105403,990671,1148384,1061816,1115034,1233314,969192,1102378,623446,654637,675959,659181,653768,726015,678598,686372,668841
833,"IMN","Isle of Man",8402,10171,9065,11296,11200,11708,12846,14087,15080,15146,13638,15646,14860,14485,13547,14923,13479,13009,12992,11445,13526,6455,6180,6262,5922,5570,5612,5138,4788,4965
376,"ISR","Israel",406241,413466,414883,514152,537614,551496,560621,581917,586703,602241,598151,616825,606496,607213,628022,631963,605670,631123,645631,667942,679479,732352,743883,741276,746023,824203,808101,860970,848693,885094
380,"ITA","Italy",5690143,5431136,5682832,6734671,6553864,6588411,7173587,7449536,7804123,8084375,8494570,8443987,8309353,8626723,8422439,8748675,8564122,8962319,8879897,8840791,9638822,9237894,9284226,9181181,9160685,10064038,9913476,10717862,10332451,10883573
388,"JAM","Jamaica",94103,104095,102087,122445,121260,129511,129926,138383,147268,147398,148589,131476,161052,148204,141085,139232,131205,140967,129929,135188,139599,153736,150625,153835,150959,168446,170356,181731,172590,181790
392,"JPN","Japan",6379007,6653809,6892107,7510451,7619242,7302639,7936931,7997058,8207170,8524653,8242947,8121308,8101586,8282571,7536477,7878158,7576186,7964196,7689288,7572331,7889843,6433573,6205437,6044700,6031032,7095740,7415323,7411943,6326310,6726534
832,"JEY","Jersey",5966,6515,6275,6311,7053,7906,8051,8118,7682,8923,7383,8633,7021,7386,7888,8223,7967,6295,6144,5886,7573,3423,3640,3640,3808,3724,3619,3922,3151,3751
400,"JOR","Jordan",186992,192046,183302,245070,253914,264363,267391,284901,279980,295335,282235,320067,338841,351210,379864,391657,381364,432049,465699,488379,491766,604989,640909,653101,684682,1093047,874654,995930,906089,981427
398,"KAZ","Kazakhstan",1861291,2315538,2176919,1695985,1547758,1471294,1488129,1297271,1635952,1583754,2061282,1980531,2112835,2119908,1859903,2241082,2275282,2431114,2321901,2680798,2808088,3277774,3758129,3350523,3074250,9035853,5057888,7929318,4233062,4740477
404,"KEN","Kenya",60827,70707,68131,92690,92833,98846,105008,110260,106246,105647,110244,86501,133117,106547,113779,108092,112496,122019,125100,161299,179396,530980,552032,661892,612154,1041529,999954,1149092,946368,1120596
296,"KIR","Kiribati",13,139,33,198,217,130,272,225,276,351,232,210,303,263,174,287,298,273,359,345,250,582,588,627,600,658,1239,1036,728,658
689,"XKX","Kosovo",37747,49046,40223,63516,64188,65676,62617,51879,79803,89057,98910,82127,94888,115220,78753,86228,76746,102992,95934,107996,134592,169742,166001,166487,165690,207279,214126,241424,220883,270044
414,"KWT","Kuwait",235035,264056,309773,354960,350823,382001,331971,343395,376025,346695,377933,448709,447686,490083,471017,425547,401549,401491,393807,406757,467570,535419,566490,564507,561549,616184,615248,666773,646427,665798
417,"KGZ","Kyrgyzstan",138373,213568,213801,201407,202649,247308,228668,193865,172790,219971,235644,201049,211506,229307,214068,258121,231084,228591,255804,250937,257612,704293,979357,691769,668459,2365730,1998230,2481201,858592,912506
418,"LAO","Laos",9381,11210,12005,18117,19684,23841,21229,19787,25795,28376,28573,36308,33329,31592,37277,45256,45138,41156,80197,77101,84665,504101,568883,643343,611783,702328,817492,912722,806235,526099
428,"LVA","Latvia",159808,157434,215226,195269,217031,233169,237893,204928,235678,236899,230938,211456,187810,270390,235353,231395,266102,251484,520802,347717,396744,324208,308459,252577,358803,322673,487696,438686,257770,623850
