"code","iso","country","SOE.raw.2003","SOE.raw.2004","SOE.raw.2005","SOE.raw.2006","SOE.raw.2007","SOE.raw.2008","SOE.raw.2009","SOE.raw.2010","SOE.raw.2011","SOE.raw.2012","SOE.raw.2013","SOE.raw.2014","SOE.raw.2015","SOE.raw.2016","SOE.raw.2017","SOE.raw.2018","SOE.raw.2019","SOE.raw.2020","SOE.raw.2021","SOE.raw.2022"
214,"DOM","Dominican Republic",0.00652940963455181,0.00584913030957206,0.00559377011979844,0.00536706821747049,0.00501258715329139,0.00440079333129528,0.00409650070561572,0.00382921051810506,0.00356206297721015,0.00346547041695806,0.00334750325298559,0.00342097270226657,0.00329444630463188,0.0031728847809375,0.00287439083588243,0.00276512653158293,0.00284925988453071,0.00261191318206384,0.0026288619845789,0.00267030161441248
218,"ECU","Ecuador",0.00229525477867373,0.00214419732988498,0.00196249015147338,0.00188463649858424,0.00182335097664049,0.00175652391502257,0.00169302496406229,0.00157460442172011,0.00156720375857495,0.00155883722617208,0.00154791992454985,0.00151465557803016,0.00155161829046509,0.00150660523621634,0.0014502905732227,0.00142416092493736,0.00142133753635403,0.00142854509184078,0.00141355985744974,0.00148022667945904
818,"EGY","Egypt",0.041873429920156,0.0426699030666,0.0432064114828394,0.0438539429002398,0.042199380165427,0.0420800112540531,0.0416434528329548,0.0410284911385524,0.039908076226231,0.0412250363798444,0.0435622367620266,0.046507761620741,0.044669150298829,0.0459889560664195,0.0474611275434512,0.0471441312456846,0.0487992253176453,0.0508085453661163,0.0518684054902248,0.0503700345027256
222,"SLV","El Salvador",0.0116815854647266,0.011449114570278,0.0109221263429254,0.0102095996103534,0.0105388705158025,0.00967301093330493,0.0106641950503563,0.00949386971471725,0.00992788517483258,0.0101141053467803,0.00985819171989419,0.00980726652485109,0.00975171684913121,0.00969168827708233,0.00899659022413435,0.00924510444475773,0.00974285610070574,0.00897562855620645,0.00899494829853106,0.008966449444237
226,"GNQ","Equatorial Guinea",0.00155044921231379,0.00154904740419481,0.00165220443238541,0.00161498566807566,0.001630272851128,0.00162181838173714,0.00165837701878492,0.00167419732729707,0.00165863470056077,0.00171647833437345,0.00177169294602424,0.00174314295032715,0.0018117856704594,0.00203172121261295,0.00171955166163432,0.00173231249456795,0.00175506167995783,0.00171884780076536,0.00175651585358353,0.00171705615772155
232,"ERI","Eritrea",0.0014213552101262,0.00155447654484242,0.00152895725079845,0.00143116008533185,0.00155773689177392,0.00167255325842122,0.00164881666207457,0.00173121263313879,0.00157139792659746,0.00161924441738489,0.00161010118252087,0.00163500154432121,0.00176888382634584,0.00163672555594298,0.0018709171885111,0.00176027441976735,0.00177874146842035,0.00203212470805608,0.00210963190863338,0.00198677015974286
233,"EST","Estonia",0.0107679250820009,0.0111185618309341,0.0109352480009853,0.0107360653547221,0.00998559464580319,0.00932403570160631,0.00969009625582311,0.00972108561090319,0.00892346305742594,0.00872702642173128,0.00944422770863263,0.00915677025606745,0.00798883714566091,0.00881390806894384,0.00806745348039297,0.00862517326751938,0.00813513811733968,0.00735522021468643,0.00794543940823457,0.00819652545128234
748,"SWZ","Eswatini",0.006916894837084,0.00778074692274484,0.00823428765264895,0.00854279080473504,0.00928237577246539,0.00879620733658665,0.00856065117207042,0.00881727446514098,0.008624573917031,0.00833809317448788,0.00889581900377825,0.00922944025983796,0.00882178125413417,0.00823586486199079,0.00777471454126925,0.00774183572808587,0.00834398560204866,0.00808065023058409,0.00842044679838415,0.00854945792915785
231,"ETH","Ethiopia",0.00114532988805945,0.00119338160832299,0.0012946172288123,0.00118860359163577,0.00130677923922162,0.00135367616971403,0.00130492375941964,0.00134714075027238,0.00134242924430518,0.00139286928652935,0.00138751497505734,0.00138267558223989,0.0014495404892333,0.00143355702358239,0.00139274042584727,0.00135052826034627,0.0013621022352402,0.00147499320155149,0.00152519755629068,0.00146131014775518
234,"FRO","Faeroe Islands",0.000622651917558247,0.000519104509774059,0.000453328926506086,0.0005245074137381,0.000413521742187858,0.00046360226251066,0.000511475570729567,0.000463538633205279,0.000453094763799553,0.000362074390208602,0.000409262615382014,0.000474830943593919,0.000390931579052156,0.00040628193298851,0.000372514482313867,0.000397456954923054,0.000354697965210639,0.000338435256290584,0.000323178579223758,0.000363453818872788
