"code","iso","country","WWT.raw.2015","WWT.raw.2016","WWT.raw.2017","WWT.raw.2018","WWT.raw.2019","WWT.raw.2020","WWT.raw.2021"
578,"NOR","Norway",0.841238,0.844466,0.842484,0.853812,0.851491,0.857734,0.867279
512,"OMN","Oman",-9999,-9999,-9999,0.99039916610064,0.990386623589815,0.990371935978727,0.990374348034546
586,"PAK","Pakistan",0.079,-9999,-9999,-9999,-9999,-9999,-9999
585,"PLW","Palau",0.5517,-9999,-9999,-9999,-9999,-9999,-9999
591,"PAN","Panama",0.533967595109639,0.551298085553387,0.554332170206261,0.553272002428277,0.557244493768106,0.546777382762627,0.543990234435442
598,"PNG","Papua New Guinea",0,-9999,-9999,-9999,-9999,-9999,-9999
600,"PRY","Paraguay",0.048,-9999,-9999,-9999,-9999,-9999,-9999
604,"PER","Peru",0.534581,0.546292,0.658206,0.663817,0.656789,0.649522,0.669497
608,"PHL","Philippines",0.028,-9999,-9999,-9999,-9999,-9999,-9999
616,"POL","Poland",0.726,0.734,0.735,0.74,0.7444,0.7481,0.7521
620,"PRT","Portugal",-9999,-9999,0.9175,-9999,-9999,-9999,-9999
634,"QAT","Qatar",0.893,-9999,-9999,-9999,-9999,-9999,-9999
178,"COG","Republic of Congo",0.0792,-9999,-9999,-9999,-9999,-9999,-9999
642,"ROU","Romania",0.463895969526947,0.504892533647203,0.493885894647499,0.492078180488824,0.507973200160314,0.544179939277294,0.551677047596842
643,"RUS","Russia",0.551,-9999,-9999,-9999,-9999,-9999,-9999
646,"RWA","Rwanda",0,-9999,-9999,-9999,-9999,-9999,-9999
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",0.4605,-9999,-9999,-9999,-9999,-9999,-9999
662,"LCA","Saint Lucia",0.3465,-9999,-9999,-9999,-9999,-9999,-9999
670,"VCT","Saint Vincent and the Grenadines",0.3607,-9999,-9999,-9999,-9999,-9999,-9999
882,"WSM","Samoa",0.2525,-9999,-9999,-9999,-9999,-9999,-9999
674,"SMR","San Marino",0.8393,-9999,-9999,-9999,-9999,-9999,-9999
678,"STP","Sao Tome and Principe",0.0674,-9999,-9999,-9999,-9999,-9999,-9999
682,"SAU","Saudi Arabia",0.601,0.598,0.614,0.61,-9999,-9999,-9999
686,"SEN","Senegal",0.0865,-9999,-9999,-9999,-9999,-9999,-9999
688,"SRB","Serbia",0.1005234435906,-9999,-9999,-9999,-9999,-9999,-9999
690,"SYC","Seychelles",0.497,-9999,-9999,-9999,-9999,-9999,-9999
694,"SLE","Sierra Leone",0,-9999,-9999,-9999,-9999,-9999,-9999
702,"SGP","Singapore",1,-9999,-9999,-9999,-9999,-9999,-9999
534,"SXM","Sint Maarten",0.6633,-9999,-9999,-9999,-9999,-9999,-9999
703,"SVK","Slovakia",0.645,0.658,0.672,0.679,0.6871,0.693,0.702
705,"SVN","Slovenia",0.565,0.621,0.66,0.672,0.675,0.673,0.6755
90,"SLB","Solomon Islands",0,-9999,-9999,-9999,-9999,-9999,-9999
706,"SOM","Somalia",0,-9999,-9999,-9999,-9999,-9999,-9999
710,"ZAF","South Africa",-9999,0.58,0.57,0.58,0.57,0.57,0.56
410,"KOR","South Korea",0.9289,0.932219,0.932,0.9355,0.9391,0.94064,0.94359
728,"SSD","South Sudan",0,-9999,-9999,-9999,-9999,-9999,-9999
724,"ESP","Spain",-9999,0.8828,-9999,0.8828,-9999,-9999,-9999
144,"LKA","Sri Lanka",0.0111,-9999,-9999,-9999,-9999,-9999,-9999
275,"PSE","State of Palestine",0.2957,-9999,-9999,-9999,-9999,-9999,-9999
729,"SDN","Sudan",0,-9999,-9999,-9999,-9999,-9999,-9999
740,"SUR","Suriname",0.3961,-9999,-9999,-9999,-9999,-9999,-9999
752,"SWE","Sweden",0.87,0.87,0.87,0.88,0.88,0.88,-9999
756,"CHE","Switzerland",0.939,-9999,-9999,-9999,-9999,-9999,-9999
760,"SYR","Syria",0.0721,-9999,-9999,-9999,-9999,-9999,-9999
158,"TWN","Taiwan",0.162,-9999,-9999,-9999,-9999,-9999,-9999
762,"TJK","Tajikistan",0.0517,-9999,-9999,-9999,-9999,-9999,-9999
834,"TZA","Tanzania",0.227047519646365,0.195511767250455,0.163166647823217,0.143784436379728,-9999,-9999,-9999
764,"THA","Thailand",0.181,-9999,-9999,-9999,-9999,-9999,-9999
626,"TLS","Timor-Leste",0.0868,-9999,-9999,-9999,-9999,-9999,-9999
768,"TGO","Togo",0,-9999,-9999,-9999,-9999,-9999,-9999
776,"TON","Tonga",0.2757,-9999,-9999,-9999,-9999,-9999,-9999
780,"TTO","Trinidad and Tobago",0.042,-9999,-9999,-9999,-9999,-9999,-9999
788,"TUN","Tunisia",0.737,-9999,-9999,-9999,-9999,-9999,-9999
792,"TUR","Turkiye",0.69919,0.707,0.7424,0.74447,0.73931,0.74043,-9999
795,"TKM","Turkmenistan",0.3412,-9999,-9999,-9999,-9999,-9999,-9999
796,"TCA","Turks and Caicos Islands",0.6846,-9999,-9999,-9999,-9999,-9999,-9999
798,"TUV","Tuvalu",0.2856,-9999,-9999,-9999,-9999,-9999,-9999
800,"UGA","Uganda",0,-9999,-9999,-9999,-9999,-9999,-9999
804,"UKR","Ukraine",0.3418,-9999,-9999,-9999,-9999,-9999,-9999
784,"ARE","United Arab Emirates",1,-9999,-9999,-9999,-9999,-9999,-9999
826,"GBR","United Kingdom",0.858,-9999,-9999,-9999,-9999,-9999,-9999
840,"USA","United States of America",0.677,-9999,-9999,-9999,-9999,-9999,-9999
858,"URY","Uruguay",0.263,-9999,-9999,-9999,-9999,-9999,-9999
860,"UZB","Uzbekistan",0.93485983991796,0.941493946565715,0.921955971815251,0.932643110492669,0.9715393371922,-9999,-9999
548,"VUT","Vanuatu",0.0706,-9999,-9999,-9999,-9999,-9999,-9999
862,"VEN","Venezuela",0.32,-9999,-9999,-9999,-9999,-9999,-9999
704,"VNM","Viet Nam",0.1,-9999,-9999,-9999,-9999,-9999,-9999
876,"WLF","Wallis and Futuna Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
732,"ESH","Western Sahara",-8888,-8888,-8888,-8888,-8888,-8888,-8888
887,"YEM","Yemen",0,-9999,-9999,-9999,-9999,-9999,-9999
894,"ZMB","Zambia",0.0049,-9999,-9999,-9999,-9999,-9999,-9999
716,"ZWE","Zimbabwe",0.612326499630107,0.57142619130743,0.539039628808042,-9999,-9999,-9999,-9999
