"code","iso","country","IFL.raw.2005","IFL.raw.2006","IFL.raw.2007","IFL.raw.2008","IFL.raw.2009","IFL.raw.2010","IFL.raw.2011","IFL.raw.2012","IFL.raw.2013","IFL.raw.2014","IFL.raw.2015","IFL.raw.2016","IFL.raw.2017","IFL.raw.2018","IFL.raw.2019","IFL.raw.2020","IFL.raw.2021","IFL.raw.2022"
188,"CRI","Costa Rica",4.80210799288349e-05,4.77329803350642e-05,4.67151984112211e-05,5.67093870283834e-05,7.52633147368315e-05,6.89105379081406e-05,8.04436954497913e-05,8.84263981546443e-05,8.19392755331101e-05,6.73745672711737e-05,6.09847605323986e-05,4.91638110489701e-05,5.54505088817874e-05,9.65944620402586e-05,9.79390588267181e-05,0.00012259111728521,0.000147487293829512,0.000133985567017916
384,"CIV","Cote d'Ivoire",0.000186614133462152,0.000194827218329855,0.000154867194264868,0.000191511060114068,0.000262107277135398,0.000420247034648552,0.00353089760703177,0.00475452903224803,0.0048963648308016,0.00729877670621323,0.00775182853728018,0.0058363211563963,0.00482290474307358,0.00678883180078558,0.00482647567017304,0.00543026473220152,0.0044531405804597,0.00448652977617201
191,"HRV","Croatia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
192,"CUB","Cuba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.78991457922943e-05,1.78991457922943e-05,2.68363099938873e-05,2.68363099938873e-05,0.000304076616543513,0.00174041581798789,0.0014304881058742,0.00164509008066973,0.00164509008066973,0.00146621915830549,0.000512653294365505
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
203,"CZE","Czech Republic",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
180,"COD","Dem. Rep. Congo",0.00020184426016141,0.000213954330016963,0.000225928231784479,0.000236359758274333,0.000290934627524093,0.000332827911270885,0.000342235711140744,0.000380888620638012,0.000539328381041772,0.000669040885852112,0.000755241819399357,0.000970706721724457,0.00112531715474318,0.00119661905622056,0.00128485689488885,0.00144854780092943,0.00151368737809322,0.00163037300434721
208,"DNK","Denmark",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
262,"DJI","Djibouti",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
212,"DMA","Dominica",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
214,"DOM","Dominican Republic",0.016283055628502,0.0162178398055505,0.016372899140429,0.0163652003229812,0.0159174726669692,0.000490802487039525,0.000521925115169666,0.000752786714107815,0.000564370343337827,0.000600429647811519,0.000572069092006427,0.000470592766569682,0.000158299931016983,0.000195802695351053,0.00015025985584766,0.000196048532166865,0.000241833687561247,0.000156475942212
218,"ECU","Ecuador",4.90265888737181e-05,5.19308149583633e-05,5.9108092971287e-05,6.7756003342443e-05,6.77205480465364e-05,6.93628904271214e-05,7.67597409552594e-05,8.64144718534653e-05,9.48592473501632e-05,9.67711449437159e-05,0.000100144988465566,0.000162780468956472,0.00018474966052723,0.000203691750792598,0.000213717186365832,0.000251371282300459,0.000200075972553077,0.000210318958255393
818,"EGY","Egypt",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
222,"SLV","El Salvador",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
226,"GNQ","Equatorial Guinea",0.000110336750192005,9.275186646544e-05,0.000155254086264513,0.000138712653292846,0.000163399060243811,0.000248566664411195,0.000246527622440118,0.000186034209684937,0.00028321324732764,0.000581164280639759,0.00072178613091867,0.000849557271795007,0.000916317717501477,0.000857240081816957,0.000602222640860863,0.000390199279348093,0.00030658283000112,0.000411723274103397
232,"ERI","Eritrea",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
233,"EST","Estonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
748,"SWZ","Eswatini",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
231,"ETH","Ethiopia",0.00022920176267495,0.000220353768879783,0.00024955602893912,0.000223150831371869,0.000235556822301766,0.00021516285581904,0.000234110775603138,0.000326655597755262,0.000864152332985402,0.00162428478689998,0.00164570955695421,0.00165224445597201,0.00196035076339625,0.00159350014353231,0.000901931984687966,0.000923935262305069,0.000973186349064625,0.000589074228621974
