"code","iso","country","SPI.raw.1980","SPI.raw.1981","SPI.raw.1982","SPI.raw.1983","SPI.raw.1984","SPI.raw.1985","SPI.raw.1986","SPI.raw.1987","SPI.raw.1988","SPI.raw.1989","SPI.raw.1990","SPI.raw.1991","SPI.raw.1992","SPI.raw.1993","SPI.raw.1994","SPI.raw.1995","SPI.raw.1996","SPI.raw.1997","SPI.raw.1998","SPI.raw.1999","SPI.raw.2000","SPI.raw.2001","SPI.raw.2002","SPI.raw.2003","SPI.raw.2004","SPI.raw.2005","SPI.raw.2006","SPI.raw.2007","SPI.raw.2008","SPI.raw.2009","SPI.raw.2010","SPI.raw.2011","SPI.raw.2012","SPI.raw.2013","SPI.raw.2014","SPI.raw.2015","SPI.raw.2016","SPI.raw.2017","SPI.raw.2018","SPI.raw.2019","SPI.raw.2020","SPI.raw.2021","SPI.raw.2022","SPI.raw.2023","SPI.raw.2024"
148,"TCD","Chad",48.21,48.21,48.21,48.21,48.21,48.21,48.21,48.21,48.21,48.21,49.29,49.29,49.29,49.29,49.29,49.29,49.29,49.29,49.29,49.29,49.29,51.73,51.73,51.73,55.59,62.99,66.58,66.58,68.54,68.54,68.81,68.81,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84,68.84
152,"CHL","Chile",22.58,22.61,22.8,24.4,24.86,24.87,25.12,25.12,26.28,26.28,26.41,26.41,26.43,26.43,26.6,27.06,28.23,28.23,28.26,28.29,28.36,28.36,28.36,28.37,28.39,29.2,29.23,29.23,29.3,29.43,29.91,29.92,29.92,30.15,30.25,30.36,30.36,30.39,32.71,33.4,33.45,33.47,33.61,33.61,33.61
156,"CHN","China",0.59,0.86,1.2,1.2,1.2,1.21,1.21,1.26,1.29,1.29,1.3,1.3,1.44,1.44,1.45,1.45,1.46,1.47,1.48,1.72,1.72,1.72,2.02,2.02,2.1,2.1,2.1,2.1,2.26,2.26,2.26,2.43,2.44,2.5,2.5,2.52,2.52,2.52,2.96,2.97,2.97,2.97,2.97,2.97,3.13
170,"COL","Colombia",17.22,17.29,17.35,17.37,18.69,18.87,18.91,20.34,20.34,28.03,28.11,28.13,28.14,28.3,28.31,28.32,28.33,28.34,29.13,29.21,29.27,29.27,29.92,29.93,29.94,31.72,33.15,34.79,36.25,37.77,38.67,39.48,39.58,40.5,41.32,45.13,46.29,48.2,50.69,53.48,53.63,54.08,54.11,54.11,54.11
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1.11,1.11,1.11,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32,43.32
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",22.62,23.7,28.89,28.95,29.53,31.09,31.58,31.88,31.91,31.91,32.87,35.01,36.11,36.12,36.92,38.2,39.71,39.8,39.95,40.07,44.24,44.32,44.37,57.26,57.3,57.3,57.81,57.83,57.83,57.83,58.56,58.56,58.56,58.61,58.62,58.62,58.62,58.62,58.63,58.81,58.81,58.81,58.81,58.81,58.81
384,"CIV","Cote d'Ivoire",45.56,45.58,45.58,45.58,45.58,45.58,45.59,45.59,45.59,45.59,45.59,45.59,45.59,45.97,45.97,45.97,47.06,47.06,47.06,47.06,47.06,47.06,47.07,47.07,47.07,48.06,48.06,48.06,48.06,48.09,48.09,48.09,48.1,48.1,48.1,48.1,48.1,48.1,48.14,48.14,48.14,48.14,48.14,48.14,84.44
191,"HRV","Croatia",1.1,1.1,1.1,1.35,1.35,1.35,1.37,1.37,1.37,1.37,1.37,1.43,1.44,1.49,1.49,1.49,1.5,1.5,1.69,1.7,1.73,1.74,1.74,1.75,1.75,1.75,1.75,1.77,2.15,2.15,2.15,3.27,3.64,29.4,81.28,81.3,81.3,81.3,81.3,82.84,82.93,84.58,84.58,84.58,84.61
192,"CUB","Cuba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,10.6,10.6,10.6,10.6,10.6,10.6,17.77,17.77,34.52,34.52,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24,39.24
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,2.13,2.68,2.68,2.68,2.68,2.68,2.81,23.51,49.43,54.18,54.26,54.29,56.03,56.03,56.03,56.03,56.03,69.34
203,"CZE","Czech Republic",28.88,31.76,32.14,32.17,32.3,32.47,32.48,32.54,32.74,32.93,33.45,37.34,37.46,37.69,37.77,37.82,37.96,38.06,38.27,38.36,38.39,38.47,38.56,38.57,57.02,62.38,62.72,62.76,79.3,80.09,80.27,81.86,94.25,94.37,94.61,94.86,95.3,96.04,96.63,96.76,96.78,96.78,96.78,96.78,96.79
180,"COD","Dem. Rep. Congo",27.62,27.62,27.62,27.62,27.62,27.62,27.62,27.62,27.62,27.62,27.62,27.62,33.92,33.92,33.92,33.92,38.25,38.25,38.25,38.25,38.25,38.25,38.26,38.26,38.26,38.26,39.53,43.37,50.47,50.47,50.47,51.01,51.14,51.14,51.14,51.14,51.94,60.38,60.38,60.4,60.4,60.4,60.4,60.4,62.67
208,"DNK","Denmark",1.18,1.3,1.32,2.45,2.48,2.48,2.49,3.73,3.74,3.74,3.75,3.75,14.83,14.83,15.05,15.05,15.22,15.22,15.27,15.27,15.27,15.31,15.31,15.37,15.45,15.58,15.87,16.21,16.23,16.83,16.98,74.19,74.19,74.74,74.87,74.87,75.21,75.24,75.41,75.41,75.41,75.41,75.41,75.41,75.41
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83
212,"DMA","Dominica",16.85,16.85,16.85,16.85,16.85,16.85,16.85,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.07,17.22,17.22,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68,24.68
214,"DOM","Dominican Republic",0.01,0.01,0.01,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,42.96,42.96,42.96,42.96,42.96,48.75,48.75,49.34,49.34,51.03,51.6,51.6,51.6,51.6,51.6,51.6,51.6,51.78,51.79,51.79,51.79
